code,description,unit,price
MST-0001,BUSH REDUCING SS316 BSP THREADED 150LB 10 x 8,each,10.86
MST-0002,BUSH REDUCING SS316 BSP THREADED 150LB 15 x 10,each,11.46
MST-0003,BUSH REDUCING SS316 BSP THREADED 150LB 15 x 8,each,11.90
MST-0004,BUSH REDUCING SS316 BSP THREADED 150LB 20 x 15,each,16.02
MST-0005,BUSH REDUCING SS316 BSP THREADED 150LB 20 x 8,each,24.46
MST-0006,BUSH REDUCING SS316 BSP THREADED 150LB 25 x 15,each,34.06
MST-0007,BUSH REDUCING SS316 BSP THREADED 150LB 25 x 20,each,23.83
MST-0008,BUSH REDUCING SS316 BSP THREADED 150LB 32 x 20,each,42.96
MST-0009,BUSH REDUCING SS316 BSP THREADED 150LB 32 x 25,each,40.24
MST-0010,BUSH REDUCING SS316 BSP THREADED 150LB 40 x 20,each,60.68
MST-0011,BUSH REDUCING SS316 BSP THREADED 150LB 40 x 25,each,50.08
MST-0012,BUSH REDUCING SS316 BSP THREADED 150LB 40 x 32,each,52.97
MST-0013,BUSH REDUCING SS316 BSP THREADED 150LB 50 x 25,each,119.10
MST-0014,BUSH REDUCING SS316 BSP THREADED 150LB 50 x 32,each,92.78
MST-0015,BUSH REDUCING SS316 BSP THREADED 150LB 50 x 40,each,66.21
MST-0016,BUSH REDUCING SS316 BSP THREADED 150LB 65 x 50,each,157.45
MST-0017,BUSH REDUCING SS316 BSP THREADED 150LB 8 x 6,each,8.35
MST-0018,BUSH REDUCING SS316 BSP THREADED 150LB 80 x 50,each,233.57
MST-0019,BUSH REDUCING SS316 BSP THREADED 150LB 80 x 65,each,128.98
MST-0020,ELBOW GRADE 304 L 100 x 90 LR x SCH10,each,268.38
MST-0021,ELBOW GRADE 304 L 15 x 90 LR x SCH10,each,24.77
MST-0022,ELBOW GRADE 304 L 150 x 90 LR x SCH10,each,902.30
MST-0023,ELBOW GRADE 304 L 20 x 90 LR x SCH10,each,30.65
MST-0024,ELBOW GRADE 304 L 20 x 90 LR x SCH40,each,39.62
MST-0025,ELBOW GRADE 304 L 200 x 90 LR x SCH10,each,881.47
MST-0026,ELBOW GRADE 304 L 25 x 90 LR x SCH10,each,29.23
MST-0027,ELBOW GRADE 304 L 32 x 90 LR x SCH10,each,34.60
MST-0028,ELBOW GRADE 304 L 40 x 90 LR x SCH10,each,56.05
MST-0029,ELBOW GRADE 304 L 40 x 90 LR x SCH40,each,95.66
MST-0030,ELBOW GRADE 304 L 50 x 90 LR x SCH10,each,76.30
MST-0031,ELBOW GRADE 304 L 65 x 90 LR x SCH10,each,126.05
MST-0032,ELBOW GRADE 304 L 80 x 90 LR x SCH10,each,169.63
MST-0033,ELBOW GRADE 316 L 100 x 90 LR x SCH10,each,542.00
MST-0034,ELBOW GRADE 316 L 100 x 90 LR x SCH40,each,1157.57
MST-0035,ELBOW GRADE 316 L 15 x 90 LR x SCH10,each,37.49
MST-0036,ELBOW GRADE 316 L 15 x 90 LR x SCH40,each,23.66
MST-0037,ELBOW GRADE 316 L 150 x 90 LR x SCH10,each,1344.01
MST-0038,ELBOW GRADE 316 L 20 x 90 LR x SCH10,each,37.77
MST-0039,ELBOW GRADE 316 L 200 x 90 LR x SCH10,each,2620.67
MST-0040,ELBOW GRADE 316 L 25 x 90 LR x SCH10,each,34.89
MST-0041,ELBOW GRADE 316 L 25 x 90 LR x SCH40,each,62.53
MST-0042,ELBOW GRADE 316 L 32 x 90 LR x SCH10,each,68.41
MST-0043,ELBOW GRADE 316 L 32 x 90 LR x SCH40,each,51.63
MST-0044,ELBOW GRADE 316 L 40 x 90 LR x SCH10,each,96.58
MST-0045,ELBOW GRADE 316 L 40 x 90 LR x SCH40,each,111.75
MST-0046,ELBOW GRADE 316 L 50 x 90 LR x SCH10,each,131.87
MST-0047,ELBOW GRADE 316 L 50 x 90 LR x SCH40,each,126.79
MST-0048,ELBOW GRADE 316 L 65 x 90 LR x SCH10,each,212.34
MST-0049,ELBOW GRADE 316 L 80 x 90 LR x SCH10,each,250.73
MST-0050,ELBOW GRADE 316 L 80 x 90 LR x SCH40,each,478.33
MST-0051,ELBOW SS316 BSP THREADED 150LB 10 x 90 x FF,each,20.55
MST-0052,ELBOW SS316 BSP THREADED 150LB 15 x 90 x FF,each,18.80
MST-0053,ELBOW SS316 BSP THREADED 150LB 20 x 90 x FF,each,24.65
MST-0054,ELBOW SS316 BSP THREADED 150LB 25 x 90 x FF,each,59.72
MST-0055,ELBOW SS316 BSP THREADED 150LB 32 x 90 x FF,each,67.49
MST-0056,ELBOW SS316 BSP THREADED 150LB 40 x 90 x FF,each,115.69
MST-0057,ELBOW SS316 BSP THREADED 150LB 50 x 90 x FF,each,135.54
MST-0058,ELBOW SS316 BSP THREADED 150LB 8 x 90 x FF,each,14.24
MST-0059,ELBOW SS316 BSP THREADED 150LB 80 x 90 x FF,each,413.86
MST-0060,FORGED FLANGE ASTM/ASME A/SA 105 ASA300 x RF x BLD x 150,each,1383.19
MST-0061,FORGED FLANGE ASTM/ASME A/SA 105 ASA300 x RF x BLD x 200,each,2079.84
MST-0062,FORGED FLANGE ASTM/ASME A/SA 105 ASA300 x RF x SO x 100,each,565.05
MST-0063,FORGED FLANGE ASTM/ASME A/SA 105 ASA300 x RF x SO x 15,each,73.64
MST-0064,FORGED FLANGE ASTM/ASME A/SA 105 ASA300 x RF x SO x 150,each,918.72
MST-0065,FORGED FLANGE ASTM/ASME A/SA 105 ASA300 x RF x SO x 200,each,1417.61
MST-0066,FORGED FLANGE ASTM/ASME A/SA 105 ASA300 x RF x SO x 25,each,108.22
MST-0067,FORGED FLANGE ASTM/ASME A/SA 105 ASA300 x RF x SO x 250,each,2019.45
MST-0068,FORGED FLANGE ASTM/ASME A/SA 105 ASA300 x RF x SO x 50,each,201.16
MST-0069,FORGED FLANGE ASTM/ASME A/SA 105 ASA300 x RF x WN160 x 50,each,311.27
MST-0070,FORGED FLANGE ASTM/ASME A/SA 105 ASA300 x RF x WN40 x 100,each,776.81
MST-0071,FORGED FLANGE ASTM/ASME A/SA 105 ASA300 x RF x WN40 x 150,each,1328.36
MST-0072,FORGED FLANGE ASTM/ASME A/SA 105 ASA300 x RF x WN40 x 200,each,2059.72
MST-0073,FORGED FLANGE ASTM/ASME A/SA 105 ASA300 x RF x WN40 x 25,each,178.35
MST-0074,FORGED FLANGE ASTM/ASME A/SA 105 ASA300 x RF x WN40 x 250,each,3003.91
MST-0075,FORGED FLANGE ASTM/ASME A/SA 105 ASA300 x RF x WN40 x 80,each,476.94
MST-0076,FORGED FLANGE ASTM/ASME A/SA 105 ASA300 x RF x WN80 x 100,each,809.37
MST-0077,FORGED FLANGE ASTM/ASME A/SA 105 ASA300 x RF x WN80 x 200,each,2211.00
MST-0078,FORGED FLANGE ASTM/ASME A/SA 105 ASA300 x RF x WN80 x 25,each,162.57
MST-0079,NIPPLE SS316 BSP THREADED 150LB 10 x BARREL,each,12.52
MST-0080,NIPPLE SS316 BSP THREADED 150LB 100 x BARREL,each,357.52
MST-0081,NIPPLE SS316 BSP THREADED 150LB 15 x BARREL,each,14.16
MST-0082,NIPPLE SS316 BSP THREADED 150LB 15 x HEX,each,17.65
MST-0083,NIPPLE SS316 BSP THREADED 150LB 15 x SWAGE,each,25.04
MST-0084,NIPPLE SS316 BSP THREADED 150LB 20 x BARREL,each,25.69
MST-0085,NIPPLE SS316 BSP THREADED 150LB 20 x SWAGE,each,24.41
MST-0086,NIPPLE SS316 BSP THREADED 150LB 25 x BARREL,each,35.32
MST-0087,NIPPLE SS316 BSP THREADED 150LB 25 x SWAGE,each,37.05
MST-0088,NIPPLE SS316 BSP THREADED 150LB 32 x BARREL,each,63.82
MST-0089,NIPPLE SS316 BSP THREADED 150LB 32 x SWAGE,each,55.47
MST-0090,NIPPLE SS316 BSP THREADED 150LB 40 x BARREL,each,64.70
MST-0091,NIPPLE SS316 BSP THREADED 150LB 40 x SWAGE,each,73.88
MST-0092,NIPPLE SS316 BSP THREADED 150LB 50 x BARREL,each,84.26
MST-0093,NIPPLE SS316 BSP THREADED 150LB 50 x SWAGE,each,149.08
MST-0094,NIPPLE SS316 BSP THREADED 150LB 6 x BARREL,each,10.60
MST-0095,NIPPLE SS316 BSP THREADED 150LB 65 x BARREL,each,113.20
MST-0096,NIPPLE SS316 BSP THREADED 150LB 8 x BARREL,each,10.60
MST-0097,NIPPLE SS316 BSP THREADED 150LB 80 x BARREL,each,203.74
MST-0098,NIPPLE SS316 BSP THREADED 150LB 80 x SWAGE,each,467.91
MST-0099,PIPE SEAMLESS ASTM A106 GRADE B 200 x SCH20 6.000Mtr ASTRON APPROVED,m,1258.72
MST-0100,PIPE SEAMLESS ASTM A106 GRADE B 200 x SCH20 6.000Mtr SASOL APPROVED,m,995.21
MST-0101,PIPE SEAMLESS ASTM A106 GRADE B 200 x SCH40 6.000Mtr ASTRON APPROVED,m,1560.26
MST-0102,PIPE SEAMLESS ASTM A106 GRADE B 200 x SCH40 6.000Mtr SASOL APPROVED,m,1285.59
MST-0103,PIPE SEAMLESS ASTM A106 GRADE B 200 x SCH80 6.000Mtr ASTRON APPROVED,m,2358.07
MST-0104,PIPE SEAMLESS ASTM A106 GRADE B 200 x SCH80 6.000Mtr SASOL APPROVED,m,1930.85
MST-0105,PIPE SEAMLESS ASTM A106 GRADE B 200 x SCH80 6.100Mtr,m,1380.74
MST-0106,PIPE SEAMLESS ASTM A106 GRADE B 250 x SCH20 6.000Mtr ASTRON APPROVED,m,1994.61
