code,description,unit,price
PVCFMA10016,PVC Socket 16 mm PVCFMA10016,each,15.03
PVCFMA10020,PVC Socket 20 mm PVCFMA10020,each,10.66
PVCFMA10025,PVC Socket 25 mm PVCFMA10025,each,10.91
PVCFMA10032,PVC Socket 32 mm PVCFMA10032,each,12.90
PVCFMA10040,PVC Socket 40 mm PVCFMA10040,each,18.77
PVCFMA10050,PVC Socket 50 mm PVCFMA10050,each,22.90
PVCFMA10063,PVC Socket 63 mm PVCFMA10063,each,35.52
PVCFMA10075,PVC Socket 75 mm PVCFMA10075,each,84.83
PVCFMA10090,PVC Socket 90 mm PVCFMA10090,each,146.35
PVCFMA10110,PVC Socket 110 mm PVCFMA10110,each,203.63
PVCFMA10125,PVC Socket 125 mm PVCFMA10125,each,330.82
PVCFMA10140,PVC Socket 140 mm PVCFMA10140,each,428.51
PVCFMA10160,PVC Socket 160 mm PVCFMA10160,each,514.15
PVCFMA10200,PVC Socket 200 mm PVCFMA10200,each,1262.09
PVCFMA10225,PVC Socket 225 mm PVCFMA10225,each,1409.26
PVCFMA10250,PVC Socket 250 mm PVCFMA10250,each,3952.95
PVCFMA10315,PVC Socket 315 mm PVCFMA10315,each,4929.80
PVCFMA10355,PVC Socket 355 mm PVCFMA10355,each,9286.66
PVCFMA10400,PVC Socket 400 mm PVCFMA10400,each,10327.15
PVCFMR100200016,PVC Reducing socket 20 x 16 mm PVCFMR100200016,each,16.92
PVCFMR100250020,PVC Reducing socket 25 x 20 mm PVCFMR100250020,each,16.53
PVCFMR100320025,PVC Reducing socket 32 x 25 mm PVCFMR100320025,each,17.82
PVCFMR100400032,PVC Reducing socket 40 x 32 mm PVCFMR100400032,each,25.44
PVCFMR100500040,PVC Reducing socket 50 x 40 mm PVCFMR100500040,each,31.82
PVCFMR100630050,PVC Reducing socket 63 x 50 mm PVCFMR100630050,each,43.27
PVCFMR100750063,PVC Reducing socket 75 x 63 mm PVCFMR100750063,each,90.36
PVCFMR100900075,PVC Reducing socket 90 x 75 mm PVCFMR100900075,each,147.18
PVCFMR101100090,PVC Reducing socket 110 x 90 mm PVCFMR101100090,each,215.08
PVCFMR101250110,PVC Reducing socket 125 x 110 mm PVCFMR101250110,each,350.36
PVCFMR101400110,PVC Reducing socket 140 x 110 mm PVCFMR101400110,each,401.12
PVCFMR101400125,PVC Reducing socket 140 x 125 mm PVCFMR101400125,each,894.80
PVCFMR101600110,PVC Reducing socket 160 x 110 mm PVCFMR101600110,each,1174.62
PVCFMR101600125,PVC Reducing socket 160 x 125 mm PVCFMR101600125,each,1156.10
PVCFMR101600140,PVC Reducing socket 160 x 140 mm PVCFMR101600140,each,1325.42
PVCFMR102000160,PVC Reducing socket 200 x 160 mm PVCFMR102000160,each,2444.80
PVCFMR102500160,PVC Reducing socket 250 x 160 mm PVCFMR102500160,each,5713.67
PVCFMR102500200,PVC Reducing socket 250 x 200 mm PVCFMR102500200,each,5713.67
PVCFRC100200016,PVC Reducing bush 20 x 16 mm PVCFRC100200016,each,12.46
PVCFRC100250016,PVC Reducing bush 25 x 16 mm PVCFRC100250016,each,13.85
PVCFRC100250020,PVC Reducing bush 25 x 20 mm PVCFRC100250020,each,11.80
PVCFRC100320016,PVC Reducing bush 32 x 16 mm PVCFRC100320016,each,14.34
PVCFRC100320020,PVC Reducing bush 32 x 20 mm PVCFRC100320020,each,14.00
PVCFRC100320025,PVC Reducing bush 32 x 25 mm PVCFRC100320025,each,13.42
PVCFRC100400020,PVC Reducing bush 40 x 20 mm PVCFRC100400020,each,15.27
PVCFRC100400025,PVC Reducing bush 40 x 25 mm PVCFRC100400025,each,15.27
PVCFRC100400032,PVC Reducing bush 40 x 32 mm PVCFRC100400032,each,14.97
PVCFRC100500020,PVC Reducing bush 50 x 20 mm PVCFRC100500020,each,19.09
PVCFRC100500025,PVC Reducing bush 50 x 25 mm PVCFRC100500025,each,18.71
PVCFRC100500032,PVC Reducing bush 50 x 32 mm PVCFRC100500032,each,18.71
PVCFRC100500040,PVC Reducing bush 50 x 40 mm PVCFRC100500040,each,18.71
PVCFRC100630032,PVC Reducing bush 63 x 32 mm PVCFRC100630032,each,28.67
PVCFRC100630040,PVC Reducing bush 63 x 40 mm PVCFRC100630040,each,28.01
PVCFRC100630050,PVC Reducing bush 63 x 50 mm PVCFRC100630050,each,27.45
PVCFRC100750040,PVC Reducing bush 75 x 40 mm PVCFRC100750040,each,48.20
PVCFRC100750050,PVC Reducing bush 75 x 50 mm PVCFRC100750050,each,47.09
PVCFRC100750063,PVC Reducing bush 75 x 63 mm PVCFRC100750063,each,47.09
PVCFRC100900050,PVC Reducing bush 90 x 50 mm PVCFRC100900050,each,79.46
PVCFRC100900063,PVC Reducing bush 90 x 63 mm PVCFRC100900063,each,77.64
PVCFRC100900075,PVC Reducing bush 90 x 75 mm PVCFRC100900075,each,77.64
PVCFRC101100063,PVC Reducing bush 110 x 63 mm PVCFRC101100063,each,114.54
PVCFRC101100075,PVC Reducing bush 110 x 75 mm PVCFRC101100075,each,114.54
PVCFRC101100090,PVC Reducing bush 110 x 90 mm PVCFRC101100090,each,114.54
PVCFRC101250075,PVC Reducing bush 125 x 75 mm PVCFRC101250075,each,208.40
PVCFRC101250090,PVC Reducing bush 125 x 90 mm PVCFRC101250090,each,208.40
PVCFRC101250110,PVC Reducing bush 125 x 110 mm PVCFRC101250110,each,208.40
PVCFRC101400090,PVC Reducing bush 140 x 90 mm PVCFRC101400090,each,306.09
PVCFRC101400110,PVC Reducing bush 140 x 110 mm PVCFRC101400110,each,306.09
PVCFRC101400125,PVC Reducing bush 140 x 125 mm PVCFRC101400125,each,306.09
PVCFRC101600090,PVC Reducing bush 160 x 90 mm PVCFRC101600090,each,445.44
PVCFRC101600110,PVC Reducing bush 160 x 110 mm PVCFRC101600110,each,435.24
PVCFRC101600125,PVC Reducing bush 160 x 125 mm PVCFRC101600125,each,445.44
PVCFRC101600140,PVC Reducing bush 160 x 140 mm PVCFRC101600140,each,445.44
PVCFRC102000160,PVC Reducing bush 200 x 160 mm PVCFRC102000160,each,820.55
PVCFRC102250200,PVC Reducing bush 225 x 200 mm PVCFRC102250200,each,978.14
PVCFRC102500160,PVC Reducing bush 250 x 160 mm PVCFRC102500160,each,3194.91
PVCFRC102500200,PVC Reducing bush 250 x 200 mm PVCFRC102500200,each,3194.91
PVCFRC103150200,PVC Reducing bush 315 x 200 mm PVCFRC103150200,each,3926.91
PVCFRC103150225,PVC Reducing bush 315 x 225 mm PVCFRC103150225,each,3926.91
PVCFRC103150250,PVC Reducing bush 315 x 250 mm PVCFRC103150250,each,3926.91
PVCFRC103550315,PVC Reducing bush 355 x 315 mm PVCFRC103550315,each,5280.53
PVCFRC104000315,PVC Reducing bush 400 x 315 mm PVCFRC104000315,each,6652.11
PVCFGO10016,PVC 90° elbow 16 mm PVCFGO10016,each,16.29
PVCFGO10020,PVC 90° elbow 20 mm PVCFGO10020,each,13.10
PVCFGO10025,PVC 90° elbow 25 mm PVCFGO10025,each,14.41
PVCFGO10032,PVC 90° elbow 32 mm PVCFGO10032,each,16.93
PVCFGO10040,PVC 90° elbow 40 mm PVCFGO10040,each,29.45
PVCFGO10050,PVC 90° elbow 50 mm PVCFGO10050,each,40.34
PVCFGO10063,PVC 90° elbow 63 mm PVCFGO10063,each,64.49
PVCFGO10075,PVC 90° elbow 75 mm PVCFGO10075,each,147.84
PVCFGO10090,PVC 90° elbow 90 mm PVCFGO10090,each,199.61
PVCFGO10110,PVC 90° elbow 110 mm PVCFGO10110,each,289.36
PVCFGO10125,PVC 90° elbow 125 mm PVCFGO10125,each,625.18
PVCFGO10140,PVC 90° elbow 140 mm PVCFGO10140,each,747.61
PVCFGO10160,PVC 90° elbow 160 mm PVCFGO10160,each,1113.57
PVCFGO10200,PVC 90° elbow 200 mm PVCFGO10200,each,2533.27
PVCFGO10225,PVC 90° elbow 225 mm PVCFGO10225,each,2726.04
PVCFGO10250,PVC 90° elbow 250 mm PVCFGO10250,each,6514.90
PVCFGO10315,PVC 90° elbow 315 mm PVCFGO10315,each,11379.57
PVCFGO10355,PVC 90° elbow 355 mm PVCFGO10355,each,23483.86
PVCFGO10400,PVC 90° elbow 400 mm PVCFGO10400,each,27500.20
PVCFGY10016,PVC 45° elbow 16 mm PVCFGY10016,each,19.31
PVCFGY10020,PVC 45° elbow 20 mm PVCFGY10020,each,19.69
PVCFGY10025,PVC 45° elbow 25 mm PVCFGY10025,each,24.67
PVCFGY10032,PVC 45° elbow 32 mm PVCFGY10032,each,33.63
PVCFGY10040,PVC 45° elbow 40 mm PVCFGY10040,each,40.70
PVCFGY10050,PVC 45° elbow 50 mm PVCFGY10050,each,49.26
PVCFGY10063,PVC 45° elbow 63 mm PVCFGY10063,each,80.75
PVCFGY10075,PVC 45° elbow 75 mm PVCFGY10075,each,138.48
PVCFGY10090,PVC 45° elbow 90 mm PVCFGY10090,each,190.91
PVCFGY10110,PVC 45° elbow 110 mm PVCFGY10110,each,418.71
PVCFGY10125,PVC 45° elbow 125 mm PVCFGY10125,each,550.93
PVCFGY10140,PVC 45° elbow 140 mm PVCFGY10140,each,673.38
PVCFGY10160,PVC 45° elbow 160 mm PVCFGY10160,each,777.60
PVCFGY10200,PVC 45° elbow 200 mm PVCFGY10200,each,2901.91
PVCFGY10250,PVC 45° elbow 250 mm PVCFGY10250,each,5299.70
PVCFGY10315,PVC 45° elbow 315 mm PVCFGY10315,each,10010.68
PVCFGY10400,PVC 45° elbow 400 mm PVCFGY10400,each,23087.81
PVCFCU10020,PVC Elongated 90° bend 20 mm PVCFCU10020,each,50.10
PVCFCU10025,PVC Elongated 90° bend 25 mm PVCFCU10025,each,58.86
PVCFCU10032,PVC Elongated 90° bend 32 mm PVCFCU10032,each,73.89
PVCFCU10040,PVC Elongated 90° bend 40 mm PVCFCU10040,each,96.44
PVCFCU10050,PVC Elongated 90° bend 50 mm PVCFCU10050,each,128.98
PVCFCU10063,PVC Elongated 90° bend 63 mm PVCFCU10063,each,185.35
PVCFCU10075,PVC Elongated 90° bend 75 mm PVCFCU10075,each,380.32
PVCFCU10090,PVC Elongated 90° bend 90 mm PVCFCU10090,each,514.46
PVCFCU10110,PVC Elongated 90° bend 110 mm PVCFCU10110,each,833.57
PVCFCU10125,PVC Elongated 90° bend 125 mm PVCFCU10125,each,3646.88
PVCFCU10140,PVC Elongated 90° bend 140 mm PVCFCU10140,each,3749.53
PVCFCU10160,PVC Elongated 90° bend 160 mm PVCFCU10160,each,4070.17
PVCFCU10200,PVC Elongated 90° bend 200 mm PVCFCU10200,each,9299.05
PVCFCU10250,PVC Elongated 90° bend 250 mm PVCFCU10250,each,16112.54
PVCFTI10016,PVC 90° tee 16 mm PVCFTI10016,each,22.15
PVCFTI10020,PVC 90° tee 20 mm PVCFTI10020,each,16.79
PVCFTI10025,PVC 90° tee 25 mm PVCFTI10025,each,19.51
PVCFTI10032,PVC 90° tee 32 mm PVCFTI10032,each,26.85
PVCFTI10040,PVC 90° tee 40 mm PVCFTI10040,each,40.63
PVCFTI10050,PVC 90° tee 50 mm PVCFTI10050,each,57.33
PVCFTI10063,PVC 90° tee 63 mm PVCFTI10063,each,90.36
PVCFTI10075,PVC 90° tee 75 mm PVCFTI10075,each,167.98
PVCFTI10090,PVC 90° tee 90 mm PVCFTI10090,each,245.62
PVCFTI10110,PVC 90° tee 110 mm PVCFTI10110,each,383.06
PVCFTI10125,PVC 90° tee 125 mm PVCFTI10125,each,820.55
PVCFTI10140,PVC 90° tee 140 mm PVCFTI10140,each,1101.88
