description,unit,price
PIPE SEAMLESS ASTM A106 GRADE B 200 x SCH20 6.000Mtr ASTRON APPROVED,m,1258.72
PIPE SEAMLESS ASTM A106 GRADE B 200 x SCH20 6.000Mtr SASOL APPROVED,m,995.21
PIPE SEAMLESS ASTM A106 GRADE B 200 x SCH40 6.000Mtr ASTRON APPROVED,m,1560.26
PIPE SEAMLESS ASTM A106 GRADE B 200 x SCH40 6.000Mtr SASOL APPROVED,m,1285.59
PIPE SEAMLESS ASTM A106 GRADE B 200 x SCH80 6.000Mtr ASTRON APPROVED,m,2358.07
PIPE SEAMLESS ASTM A106 GRADE B 200 x SCH80 6.000Mtr SASOL APPROVED,m,1930.85
PIPE SEAMLESS ASTM A106 GRADE B 200 x SCH80 6.100Mtr,m,1380.74
PIPE SEAMLESS ASTM A106 GRADE B 250 x SCH20 6.000Mtr ASTRON APPROVED,m,1994.61
PIPE SEAMLESS ASTM A106 GRADE B 250 x SCH20 6.000Mtr SASOL APPROVED,m,1247.77
PIPE SEAMLESS ASTM A106 GRADE B 250 x SCH40 6.000Mtr ASTRON APPROVED,m,2217.58
PIPE SEAMLESS ASTM A106 GRADE B 250 x SCH40 6.000Mtr SASOL APPROVED,m,1801.69
PIPE SEAMLESS ASTM A106 GRADE B 250 x SCH60 6.000Mtr SASOL APPROVED,m,2436.08
PIPE SEAMLESS ASTM A106 GRADE B 250 x SCH80 6.000Mtr ASTRON APPROVED,m,3764.00
PIPE SEAMLESS ASTM A106 GRADE B 250 x SCH80 6.000Mtr SASOL APPROVED,m,3064.92
PIPE SEAMLESS ASTM A106 GRADE B 300 x SCH40 6.000Mtr ASTRON APPROVED,m,3125.96
PIPE SEAMLESS ASTM A106 GRADE B 300 x SCH40 6.000Mtr SASOL APPROVED,m,2399.51
PIPE SEAMLESS ASTM A106 GRADE B 300 x SCH80 6.000Mtr SASOL APPROVED,m,3945.36
PIPE SEAMLESS ASTM A106 GRADE B 300 x SCHSTD 6.000Mtr ASTRON APPROVED,m,2610.61
PIPE SEAMLESS ASTM A106 GRADE B 350 x SCH40 6.000Mtr ASTRON APPROVED,m,3827.72
PIPE SEAMLESS ASTM A106 GRADE B 500 x SCHSTD 6.000Mtr SASOL APPROVED,m,4087.63
PIPE SEAMLESS ASTM A106 GRADE B 500 x SCHXS 6.000Mtr SASOL APPROVED,m,5412.74
PIPE SEAMLESS ASTM A53 / ASTM A106 / ASME SA 106 GRADE B 100 x SCH120 6.000Mtr ASTRON APPROVED,m,919.76
PIPE SEAMLESS ASTM A53 / ASTM A106 / ASME SA 106 GRADE B 125 x SCH80 6.000Mtr ASTRON APPROVED,m,1118.08
PIPE SEAMLESS ASTM A53 / ASTM A106 / ASME SA 106 GRADE B 32 x SCH80 6.000Mtr ASTRON APPROVED,m,202.04
PIPE SEAMLESS ASTM A53 / ASTM A106 / ASME SA 106 GRADE B 80 x SCH160 6.000Mtr ASTRON APPROVED,m,644.85
